"Year","AvgPop","Births","Deaths","Change","BirthRate","DeathRate","ChangeRate","FertilityRate"
1981,716493,24289000,8956000,15333000,33.9,12.5,21.4,"–"
1982,733152,24781000,8725000,16056000,33.8,11.9,21.9,"–"
1983,750034,25276000,8925000,16351000,33.7,11.9,21.8,"–"
1984,767147,26006000,9666000,16340000,33.9,12.6,21.3,"–"
1985,784491,25810000,9257000,16553000,32.9,11.8,21.1,"–"
1986,802052,26147000,8903000,17244000,32.6,11.1,21.5,"–"
1987,819800,26316000,8936000,17380000,32.1,10.9,21.2,"–"
1988,837700,26388000,9215000,17173000,31.5,11,20.5,"–"
1989,855707,26185000,8814000,17371000,30.6,10.3,20.3,"–"
1990,873785,26388000,8476000,17912000,30.2,9.7,20.5,"3.80"
1991,891910,26133000,8741000,17392000,29.3,9.8,19.5,"–"
1992,910065,26392000,9192000,17200000,29,10.1,18.9,"–"
1993,928226,26640000,8633000,18007000,28.7,9.3,19.4,"–"
1994,946373,27161000,8801000,18360000,28.7,9.3,19.4,"–"
1995,964486,27295000,8680000,18615000,28.3,9,19.3,"3.50"
1996,982553,26824000,8745000,18079000,27.3,8.9,18.4,"–"
1997,1000558,27215000,8905000,18310000,27.2,8.9,18.3,"–"
1998,1018471,26989000,9166000,17823000,26.5,9,17.5,"–"
1999,1036259,26943000,9015000,17928000,26,8.7,17.3,"–"
2000,1053898,27191000,8958000,18233000,25.8,8.5,17.3,"3.20"
2001,1071374,27213000,9e+06,18213000,25.4,8.4,17,"–"
2002,1088694,27217000,8818000,18399000,25,8.1,16.9,"–"
2003,1105886,27426000,8847000,18579000,24.8,8,16.8,"–"
2004,1122991,27064000,8422000,18642000,24.1,7.5,16.6,"–"
2005,1140043,27133000,8664000,18469000,23.8,7.6,16.2,"2.90"
2006,1157039,27190000,8678000,18512000,23.5,7.5,16,"–"
2007,1134024,26195954,8391778,17804176,23.1,7.4,15.7,"–"
2008,1150196,26224469,8511450,17713019,22.8,7.4,15.4,"2.60"
2009,1166228,26240130,8513464,17726666,22.5,7.3,15.2,"2.60"
2010,1182108,26124587,8511178,17613409,22.1,7.2,14.9,"2.50"
2011,1197658,26108944,8503372,17605572,21.8,7.1,14.7,"2.44"
2012,1212827,26197063,8489789,17707274,21.6,7,14.6,"2.40"
2013,1227012,26258057,8589084,17668973,21.4,7,14.4,"2.30"
2014,1233542,25904377,8264730,17639647,21,6.7,14.3,"2.30"
